District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,561,828,850,778,719,638,698,620,533,538,509,555,507,492,530,618,741,788,881
2,2315,1817,1605,1511,1421,1413,1317,1224,1061,1061,1043,982,916,817,748,864,948,1007,985
3,1866,1912,1862,1816,1666,1477,1549,1402,1341,1302,1202,1232,1077,1024,1014,1036,1155,1130,1172
4,2090,2184,2202,1982,1985,1756,1837,1830,1687,1596,1584,1573,1325,1242,1284,1461,1335,1379,1349
5,1879,2030,1781,1699,1546,1497,1604,1603,1377,1268,1256,1232,1070,1038,994,1047,1098,1102,1026
6,1720,1822,1801,1784,1762,1694,1767,1733,1519,1457,1338,1253,1244,1147,1252,1323,1493,1523,1690
7,2287,2496,2335,2306,2071,1962,2081,1996,1594,1485,1505,1350,1258,1225,1132,1273,1258,1380,1452
8,1809,2010,1874,1987,1828,1942,1843,1824,1592,1506,1394,1295,1128,1028,1087,1181,1117,1327,1431
9,1483,1659,1603,1508,1413,1361,1321,1274,1256,1086,1087,1046,908,858,853,1028,973,997,893
10,1358,1277,1200,1238,1172,1041,1147,1176,1152,1084,919,1006,882,828,790,990,967,984,1003
11,1667,1776,1670,1746,1544,1470,1482,1542,1433,1379,1347,1183,1129,1133,1257,1330,1362,1406,1221
12,1629,1471,1399,1318,1245,1238,1244,1139,1003,920,880,911,785,736,729,821,865,925,939
14,1437,1274,1168,1015,997,1004,943,814,739,691,671,569,509,452,406,533,583,591,565
15,1185,1246,1209,1310,1176,1186,1265,1123,1049,933,876,893,792,825,767,867,840,866,946
16,876,863,730,825,710,692,730,651,606,584,592,540,535,490,529,593,606,665,628
17,705,668,694,656,658,661,603,652,521,493,495,435,411,381,431,459,413,436,456
18,893,895,769,759,654,623,646,549,472,498,433,392,392,401,379,443,544,681,724
19,1086,1083,900,880,798,763,721,700,599,585,597,562,502,466,490,505,565,591,661
20,638,559,484,451,472,411,408,424,322,319,287,318,294,226,270,261,273,332,340
22,1112,1053,1034,1018,943,945,1016,975,897,795,703,720,710,604,678,603,590,688,693
24,893,834,680,702,745,740,626,752,651,680,512,631,567,488,425,456,531,569,518
25,1895,1764,1627,1561,1541,1431,1464,1440,1456,1275,1178,1221,1031,1002,999,1047,1047,1033,1011
31,0,0,0,0,0,0,1,0,1,1,3,0,0,0,1,1,0,0,0
