District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,2,12,9,5,3,8,5,3,2,3,7,4,4,1,2,7,4,5,6
2,37,24,25,23,22,11,18,13,12,10,11,11,4,5,6,7,8,5,9
3,54,38,50,26,21,20,23,15,11,14,14,8,14,11,10,8,9,12,10
4,80,89,86,33,28,21,18,27,15,21,21,15,13,12,20,14,19,13,19
5,47,50,71,23,23,17,25,15,20,14,14,12,10,13,15,11,14,9,4
6,61,65,65,31,16,27,23,18,18,18,22,8,12,16,16,24,10,7,13
7,38,31,27,29,23,25,16,22,15,24,19,12,20,18,12,13,11,10,11
8,81,69,39,34,39,22,23,33,22,34,30,20,27,20,24,16,15,19,14
9,35,45,27,27,12,25,15,23,14,15,23,13,10,17,7,7,10,9,2
10,32,22,18,13,17,12,10,20,16,5,8,6,14,5,9,3,5,7,9
11,36,37,22,25,17,15,15,17,15,18,15,20,14,5,2,9,14,6,7
12,35,10,14,9,11,7,15,5,15,10,6,5,9,4,0,4,4,3,5
14,39,28,31,17,11,16,6,10,7,10,5,14,4,4,2,7,3,1,1
15,20,31,14,21,15,16,22,19,6,10,10,12,10,11,5,3,7,6,11
16,44,41,25,21,24,16,18,19,14,20,9,14,12,15,13,19,15,9,9
17,43,21,32,12,14,11,20,13,10,8,4,7,6,11,5,5,4,6,5
18,20,15,6,10,3,5,5,6,7,2,5,7,4,3,10,4,9,7,4
19,34,21,18,7,16,9,3,14,5,5,5,7,4,2,3,6,2,4,7
20,14,23,11,6,6,10,4,0,0,1,6,2,5,4,1,4,3,2,3
22,72,72,52,39,19,15,19,30,29,33,13,7,32,19,15,12,12,14,13
24,39,27,20,31,11,11,7,12,11,2,4,9,2,4,0,6,5,3,3
25,70,58,43,40,38,20,19,24,29,36,15,22,12,20,13,13,7,14,8
31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
