District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,19,20,23,13,6,19,10,13,12,12,9,5,5,4,12,10,5,7,6
2,9,11,23,14,16,15,13,15,11,3,5,3,6,4,2,7,10,9,7
3,12,15,26,15,15,18,11,15,20,10,3,8,6,6,7,6,4,15,8
4,19,36,31,25,14,14,27,13,22,25,10,6,13,6,5,6,5,7,7
5,15,27,31,27,16,14,13,6,11,17,7,5,6,18,9,3,6,4,7
6,12,19,22,38,11,15,17,18,11,12,7,8,8,3,4,0,9,2,5
7,14,15,16,27,12,14,2,9,12,8,10,9,6,8,4,4,5,4,10
8,18,9,20,16,21,10,22,14,10,15,7,14,6,6,5,10,10,17,13
9,19,23,26,20,12,15,20,14,14,8,12,9,13,3,11,15,14,8,9
10,22,18,15,17,12,15,14,16,16,12,14,24,11,8,7,7,12,7,7
11,8,20,13,13,15,10,11,12,8,9,13,5,8,8,4,8,9,5,10
12,17,22,15,19,12,11,13,18,10,6,10,5,4,5,6,6,9,20,12
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,10,14,12,15,20,10,4,8,5,8,5,2,1,1,3,3,3,3
15,9,12,9,11,7,7,8,9,3,3,5,5,6,5,6,1,6,4,7
16,7,7,12,8,10,10,15,13,10,8,6,3,7,3,2,4,9,6,7
17,11,6,7,8,12,12,11,9,6,2,6,6,5,4,2,7,6,8,5
18,3,5,7,10,8,7,6,11,6,9,3,5,2,4,6,7,9,13,12
19,12,8,9,8,11,9,2,13,11,10,10,9,5,6,9,7,2,13,4
20,2,5,6,1,1,10,5,8,4,3,2,2,0,1,3,1,5,4,6
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,13,24,18,11,11,10,6,9,12,8,6,4,4,3,6,5,2,1,4
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,6,6,9,15,8,8,4,5,6,3,6,5,3,2,2,3,6,5,2
25,17,19,12,21,13,13,15,17,8,9,12,11,8,7,10,15,5,7,12
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
