District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,1,0,0,0,0,0,0,0,1,3,3,1,3,2,1,3,1,2,2
2,2,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0
3,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1
6,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0,1,0,1,1
7,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0
8,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,2,1,0,2
9,2,1,1,1,0,0,0,0,1,0,1,2,1,0,1,0,1,0,1
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
11,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,0
12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
16,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
18,1,2,2,2,0,0,2,1,1,0,4,2,1,2,1,0,3,2,0
19,0,0,0,0,0,0,0,1,1,2,2,2,3,3,2,0,0,1,0
20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
25,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
