District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,11,12,7,7,5,9,4,4,3,1,1,1,2,1,5,9,4,9,3
2,40,25,19,29,24,16,19,24,22,21,20,25,16,17,25,30,27,33,17
3,36,37,33,31,35,37,32,41,26,28,36,42,36,18,25,40,52,32,32
4,45,44,44,28,23,37,29,44,41,32,19,40,33,33,30,43,51,33,38
5,36,32,45,22,32,42,34,29,21,29,27,34,32,20,30,44,46,60,35
6,48,39,29,32,33,34,38,40,35,40,36,42,36,32,41,59,50,46,45
7,46,63,51,46,37,33,40,46,44,40,60,40,45,49,41,88,49,57,45
8,25,37,27,27,36,25,29,36,32,36,28,40,23,32,31,60,44,32,32
9,48,40,46,24,25,35,32,27,24,29,32,44,25,26,31,66,53,31,20
10,48,41,50,38,35,37,27,39,30,31,30,35,27,24,30,49,47,35,34
11,72,70,57,27,34,38,42,46,55,49,44,38,38,53,49,94,73,73,73
12,31,32,31,21,14,23,17,19,20,15,15,17,13,10,19,28,27,13,17
14,31,20,30,19,12,16,6,12,15,3,6,9,13,5,12,10,7,10,7
15,38,45,31,21,19,25,23,30,29,18,19,27,26,32,32,60,55,46,40
16,5,7,1,4,1,4,5,3,2,5,3,7,4,8,5,4,4,2,10
17,10,12,12,10,4,3,5,5,13,6,8,8,7,3,13,11,4,9,5
18,9,13,12,8,14,5,2,5,2,2,3,6,5,5,1,5,6,5,4
19,15,17,12,6,7,5,13,6,3,5,8,6,2,6,10,8,5,7,4
20,7,6,8,2,7,1,1,2,1,2,5,5,3,3,7,3,2,2,0
22,18,15,21,13,10,18,17,17,19,23,16,15,20,16,22,26,27,17,15
24,10,10,8,9,10,6,11,8,4,7,4,14,6,10,10,12,7,12,9
25,38,40,30,30,36,27,22,30,19,16,18,20,17,23,33,39,34,28,18
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
