District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,727,894,1006,926,1051,1078,1059,824,723,639,588,570,629,562,732,762,728,838,763
2,3178,2483,2383,2184,2290,2144,1854,1771,1664,1642,1661,1453,1137,1114,1234,1374,1279,1543,1118
3,2813,2741,2751,2647,2896,3045,2658,2460,2354,2158,1819,1951,1743,1398,1567,1509,1570,1564,1474
4,3611,3728,3536,3423,3430,3765,3541,3402,3018,2738,2427,2648,2149,1836,1871,1908,1879,1611,1573
5,2492,2611,2457,2455,2815,2750,2694,2670,2323,1817,1676,1898,1572,1481,1425,1575,1523,1412,1489
6,2900,2907,2764,2710,2903,2978,2940,2893,2614,1999,1833,1948,1735,1621,1666,1960,1859,1819,1898
7,3163,3145,3265,2988,3195,3310,3243,3287,2807,2473,2276,1985,1765,1469,1585,1553,1652,1541,1500
8,4501,4769,4784,4923,5202,5529,5113,5073,4804,3605,3403,2921,2685,2399,2268,2499,2323,2076,1997
9,3174,3396,3275,3135,3234,3444,3177,2932,2611,2269,2399,2123,1732,1687,1550,1658,1429,1355,1396
10,2074,2222,2091,2098,2063,1906,1989,1983,1870,1747,1534,1622,1393,1307,1340,1524,1358,1312,1221
11,2191,2318,2201,2390,2311,2428,2295,2412,2095,1811,1749,1848,1506,1319,1533,1775,1649,1674,1422
12,2831,2827,2808,2700,2725,2907,2664,2666,2329,2030,1961,1785,1452,1405,1495,1776,1545,1322,1317
14,2837,2795,2436,2202,2172,2420,2194,2288,2221,1934,1594,1453,1221,1069,1098,1260,1093,1073,1002
15,1722,1724,1745,1666,1684,1748,1677,1694,1440,1275,1251,1155,1075,1009,1036,1234,1102,968,1042
16,2527,2754,2961,2507,2446,2639,2422,2765,2338,1832,1625,1465,1181,1153,1201,1183,1033,990,946
17,2139,1986,2067,1982,1925,2269,1819,2130,1878,1523,1452,1234,1124,1013,1052,1031,932,936,834
18,1666,1681,1745,1626,1554,1571,1670,1507,1363,1172,985,1000,747,767,788,916,891,924,849
19,2613,2435,2244,2318,2233,2496,2377,2263,2061,1843,1504,1554,1441,1289,1170,1209,940,961,1039
20,1275,1099,964,1073,1138,1180,1021,880,804,730,620,663,490,455,465,453,452,509,431
22,1875,2068,2051,2002,2151,2176,2142,2013,1799,1462,1410,1326,1141,930,1066,1191,1095,1018,964
24,2126,1971,1963,1977,1953,2000,1999,1744,1536,1462,1230,1107,1070,868,901,895,1094,942,921
25,3416,3385,3509,3232,3176,3340,3197,3179,3072,2484,2332,2145,1864,1646,1632,1773,1618,1433,1438
31,0,1,5,0,1,1,4,1,0,8,3,0,1,1,0,0,0,0,3
