District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,46,73,68,57,62,42,55,50,38,25,36,36,40,39,50,45,53,63,54
2,110,91,76,80,68,81,52,55,50,46,33,45,35,33,56,45,40,37,59
3,102,94,97,75,80,75,68,50,49,52,54,44,33,52,49,48,37,38,52
4,90,99,112,103,94,75,75,77,55,56,46,46,53,57,46,44,49,55,59
5,80,110,80,81,67,68,50,51,53,46,24,56,41,44,29,38,30,36,49
6,118,114,93,78,94,66,72,79,54,61,48,38,47,41,40,46,42,38,61
7,110,94,98,97,102,86,88,83,54,56,53,55,45,42,56,41,57,41,69
8,196,158,148,154,141,127,103,132,114,98,102,85,103,73,70,63,64,80,88
9,125,120,142,106,97,86,116,120,114,65,67,73,85,60,47,71,63,60,64
10,120,94,68,68,73,75,67,69,54,61,58,61,50,51,64,60,53,56,66
11,66,86,84,66,47,77,55,55,56,37,42,39,36,43,41,45,48,50,61
12,120,100,130,79,88,69,81,61,70,44,62,60,53,40,52,65,46,68,77
14,121,108,105,69,74,73,81,65,52,62,32,41,32,45,46,35,37,42,47
15,59,65,65,50,50,38,39,46,33,30,42,42,30,28,30,38,30,45,40
16,97,85,83,71,80,54,65,56,45,59,50,54,38,38,46,40,44,46,45
17,107,116,81,83,83,99,71,55,58,46,46,45,39,44,38,44,62,41,35
18,86,72,72,55,66,65,54,57,35,44,45,24,46,40,41,36,47,70,71
19,114,152,148,143,140,90,102,82,88,64,55,64,49,60,51,42,56,75,71
20,75,59,40,43,59,35,36,32,23,24,29,29,26,30,19,17,23,38,30
22,92,74,72,67,64,50,41,51,37,28,37,22,26,45,19,19,25,31,45
24,82,83,65,56,56,50,54,49,52,51,45,43,50,28,44,54,53,56,47
25,116,123,147,123,122,90,104,116,72,70,74,67,78,55,74,62,70,67,84
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
