District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,1424,1247,1191,1123,1223,1137,1133,1341,1138,1052,1100,1325,1523,1527,1451,1930,2158,2283,2022
2,704,554,556,566,546,558,558,512,526,423,425,484,562,743,744,816,828,870,727
3,510,452,450,482,496,496,599,548,544,550,471,481,477,634,627,642,643,636,569
4,609,482,549,560,612,598,742,718,645,565,595,621,642,712,772,815,781,690,596
5,352,293,282,312,335,353,362,425,367,413,383,391,349,462,501,518,523,551,476
6,1148,724,728,731,814,694,806,745,750,649,727,851,856,963,881,886,885,879,787
7,398,405,413,415,357,377,481,441,387,326,397,561,508,631,599,548,511,514,433
8,1156,954,1013,1011,1039,949,1015,1050,876,767,770,906,791,1047,1031,1159,1139,1101,989
9,512,546,617,568,582,590,541,543,462,465,579,701,553,619,598,674,577,661,575
10,269,236,246,265,268,306,274,344,299,251,273,304,362,436,461,575,402,485,445
11,344,323,342,347,411,548,518,707,733,636,457,840,692,678,585,591,619,563,560
12,634,642,681,618,637,623,642,632,633,537,581,555,637,760,806,1006,1014,1041,1006
14,577,636,550,504,490,539,506,571,525,510,435,414,419,486,510,686,760,717,762
15,230,284,226,209,227,306,333,347,340,346,342,314,297,458,510,492,490,400,373
16,793,740,711,635,683,659,780,806,721,646,567,581,517,686,789,971,1008,865,906
17,454,449,449,393,436,416,405,511,429,384,341,340,334,422,453,624,608,580,501
18,1199,1414,1272,1338,1247,1321,1292,1334,1273,1136,1532,1432,1364,1298,1413,1874,2078,2320,1999
19,1361,1326,1266,1358,1214,1106,1084,1160,1106,1051,1006,873,1074,1022,1085,1547,1526,1441,1392
20,420,372,359,335,372,339,286,327,358,295,249,265,288,332,363,491,557,555,480
22,479,422,419,475,478,482,495,503,515,508,468,512,524,590,735,699,617,676,623
24,610,551,503,447,475,497,488,536,497,389,419,366,380,484,466,615,613,560,633
25,726,667,633,556,631,700,811,800,726,624,566,575,654,809,817,877,979,931,816
31,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,11,1,1,1
