District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,288,408,356,336,324,251,274,198,196,217,207,252,189,168,176,215,218,151,160
2,1150,1274,1251,1197,1291,1340,1000,912,1095,942,936,757,638,604,476,586,505,410,306
3,1169,1124,1199,1424,1541,1475,1593,1748,1792,1564,1773,1444,1268,898,955,860,831,661,594
4,1301,1238,1419,1338,1476,1566,1705,2056,2000,2176,2096,1767,1503,1038,1056,938,847,761,592
5,1129,1063,1066,975,1190,1081,1412,1435,1507,1277,1342,1104,979,753,674,665,575,512,442
6,1520,1310,1405,1709,1526,1404,1657,1712,1956,1839,1665,1261,1069,965,1025,1013,772,666,690
7,1465,1289,1399,1471,1595,1674,1962,1872,1836,1983,1751,1466,1009,833,755,825,599,524,531
8,2242,2332,2316,2125,2255,2036,2234,2410,2469,2481,2568,1898,1672,1417,1161,1475,1231,1022,879
9,1795,1604,1766,1499,1503,1615,1270,1307,1275,1302,1344,1147,876,823,683,780,641,577,525
10,1025,912,753,672,763,660,674,893,830,889,819,799,676,607,467,491,461,414,349
11,866,832,767,814,834,1073,858,866,889,936,894,947,661,547,469,487,486,500,382
12,1461,1171,1144,1027,1121,920,1032,1094,983,899,1069,972,811,719,646,674,846,662,455
14,1659,1489,1421,1374,1198,1267,1269,1328,1359,1304,1274,1202,960,745,489,642,609,578,463
15,583,578,556,630,623,452,550,683,859,780,863,664,424,373,301,324,336,338,255
16,1012,1048,950,757,873,746,646,774,882,858,1041,871,720,623,596,662,501,519,349
17,935,1179,937,800,946,876,967,864,957,989,1050,1008,656,508,535,508,507,524,348
18,814,825,884,785,796,702,642,653,451,481,469,595,415,273,299,343,359,350,264
19,1517,1702,1676,1726,1578,1397,1293,1416,1164,1129,1175,1370,835,724,598,757,693,718,528
20,533,453,354,468,592,412,341,375,373,407,411,459,291,214,188,240,198,308,168
22,844,822,792,753,846,884,1111,1221,1281,1102,1123,767,573,495,479,543,518,430,363
24,781,1000,893,965,880,852,757,737,786,786,725,610,476,457,423,398,398,438,422
25,1922,1969,1852,1718,1751,1641,1611,1662,1827,2081,2025,1483,1193,785,732,861,867,681,523
31,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
