District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,7539,7377,6937,7115,6452,6523,6350,6533,5976,6003,5649,6015,5711,5375,5653,6557,7642,7656,7326
2,5991,4677,4595,4510,4033,3582,3688,3434,3366,3294,3219,3016,2908,2511,2439,2751,2734,2752,2639
3,4190,3527,3654,3158,3207,3156,2917,3033,2822,2698,2820,2845,2749,2165,2006,1902,1952,1931,2054
4,4224,4215,4409,4236,3824,4220,3913,3970,3354,3298,3778,3571,3225,2910,2487,2314,2348,2259,2213
5,2607,2777,2679,2624,2373,2445,2565,2772,2571,2241,2276,2316,2218,2094,1770,1725,1791,1904,1659
6,5006,4718,4928,4629,4418,4083,4107,4060,3534,3262,3478,3514,3689,3263,2845,2915,3125,3211,2935
7,3568,3385,3662,3358,3269,3386,3551,3694,3265,3152,3176,3069,3056,2307,1919,1801,1847,2089,1843
8,6660,6582,6446,6357,5823,5854,5710,5834,5488,4587,4766,4578,4539,3945,3381,3474,3182,3478,3172
9,4125,4318,4464,4499,3938,3996,3750,3699,3442,3112,2964,3246,3101,2785,2353,2253,2267,2232,2229
10,2815,2745,3145,3252,2811,2676,2765,2560,2326,2267,2305,2352,2154,1945,1626,1826,1825,1789,1757
11,3097,3053,3357,3310,3076,3139,3272,3129,2704,2723,2859,2830,2608,2113,1856,2043,2005,2131,1991
12,5541,6264,6844,6900,5545,5831,5639,6193,5259,5273,4982,4784,4301,3839,3629,4801,4189,4365,4325
14,5464,5715,5526,4996,4146,4353,4326,4547,4315,4383,3812,3593,3365,3151,3150,3688,3666,3416,3451
15,2019,2011,2230,2169,1921,1875,1902,2050,1898,1687,1809,1906,1804,1458,1220,1425,1275,1332,1480
16,3912,3960,3890,3472,3336,3321,3189,3792,3200,2640,2625,2830,2617,2147,2195,2239,2079,2284,1953
17,3399,3431,3545,3322,2993,2968,2651,3071,2849,2728,2372,2424,2269,2003,2071,2020,2387,2130,1933
18,8993,8770,8134,7416,6509,6700,7088,7569,6969,6881,6647,6964,6274,5359,5290,6180,7331,7773,6945
19,6758,6997,6744,6445,5501,5706,5974,6568,6261,5977,5604,5626,5197,4366,4177,4261,4515,4621,4544
20,2201,2196,2054,2047,2039,2061,1797,1822,1675,1468,1502,1601,1400,1172,1143,1178,1367,1338,1273
21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2766,3026,2831,3066,2656,2627,2838,2762,2430,2433,2373,2342,2346,1975,1728,1625,1769,1856,1664
24,3270,3373,3094,3357,3199,3344,2974,2828,2545,2575,2460,2252,2201,1746,1663,1780,2319,2033,2323
25,5120,5206,5704,5225,4615,4392,4190,4508,4724,4064,3665,3786,3798,2935,2738,2854,2753,2672,2574
31,0,4,2,0,0,2,0,1,2,10,8,2,1,1,1,2,0,0,2
