District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,20,52,31,49,60,38,22,84,86,47,46,33,36,23,24,6,29,1,0
2,504,241,371,478,310,406,334,440,346,165,126,45,63,16,11,1,27,21,11
3,141,121,93,251,130,191,152,71,86,45,23,97,41,38,12,3,1,0,1
4,222,91,142,148,110,96,100,114,201,108,63,81,60,43,31,6,10,4,11
5,178,288,201,341,220,118,216,93,118,111,103,190,175,102,59,29,67,83,62
6,176,92,82,221,189,65,56,72,224,109,159,37,96,38,50,13,13,8,2
7,227,248,159,489,219,448,411,443,391,166,236,312,120,92,175,28,162,35,54
8,433,299,281,431,425,447,624,280,392,326,274,158,75,116,60,22,13,106,44
9,454,471,621,577,494,670,682,401,193,102,182,55,115,20,97,34,19,9,1
10,91,201,225,272,313,423,331,249,79,102,78,45,65,11,2,5,10,2,7
11,424,645,582,763,576,1153,890,947,370,308,408,530,347,542,536,511,325,420,413
12,392,334,474,470,421,623,384,416,138,79,63,45,70,61,25,5,6,5,18
14,737,922,531,667,310,246,301,229,147,98,52,33,12,10,7,0,0,1,4
15,227,540,292,152,212,386,304,197,189,74,40,14,46,119,6,25,4,1,4
16,14,34,84,75,35,38,34,10,12,18,4,6,7,21,7,0,5,1,2
17,80,119,143,121,123,150,40,41,32,22,13,15,17,27,8,1,1,1,8
18,538,512,599,682,688,449,320,279,260,158,127,92,71,82,68,13,0,0,0
19,366,311,253,291,242,168,124,44,56,37,39,18,9,10,3,2,3,2,1
20,95,73,41,88,78,46,25,12,6,12,5,5,2,2,3,0,0,0,1
22,53,6,30,17,34,20,11,12,34,4,1,1,3,4,1,0,1,0,0
24,94,107,139,157,149,193,116,99,41,36,6,41,13,29,11,16,5,0,1
25,560,701,840,736,786,660,610,607,539,358,376,351,209,220,126,80,34,18,35
