District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,28,26,28,24,29,19,21,28,21,19,25,44,41,43,29,72,69,75,58
2,161,118,90,116,79,82,89,61,66,46,70,64,60,51,57,78,80,71,63
3,116,111,117,108,109,93,113,99,97,85,83,67,66,83,67,67,83,77,96
4,113,108,124,99,108,96,122,104,100,96,94,88,89,89,81,77,77,108,82
5,106,107,84,92,94,87,89,100,82,75,86,79,64,62,51,86,59,61,61
6,108,126,94,117,123,94,100,91,95,92,109,102,101,75,75,92,101,87,93
7,137,163,134,143,103,141,147,104,117,91,110,110,88,92,75,73,88,78,81
8,104,105,86,94,101,121,117,98,97,89,95,106,96,105,107,90,85,76,93
9,76,95,82,76,87,84,84,87,80,75,68,65,56,59,53,66,55,69,60
10,79,72,61,63,64,60,70,72,60,61,75,74,90,59,67,72,90,81,67
11,101,127,89,85,69,71,81,97,72,92,87,83,79,94,101,109,87,108,91
12,77,68,47,47,64,55,50,63,50,53,63,60,48,52,72,82,95,99,87
14,75,80,74,62,48,54,47,49,50,55,42,48,43,47,47,50,57,49,49
15,102,79,81,75,78,57,61,87,79,66,74,66,50,56,75,67,59,85,67
16,30,37,33,21,28,27,30,32,31,31,28,27,25,31,42,41,45,45,40
17,54,57,44,40,47,37,40,36,36,53,44,42,31,39,53,44,44,50,42
18,50,55,43,38,41,35,37,40,37,39,40,52,52,52,69,110,122,101,108
19,57,62,61,65,57,73,44,65,70,60,71,59,53,69,86,78,106,103,105
20,32,23,25,23,22,22,23,31,20,26,35,24,13,28,23,53,52,46,47
22,45,50,59,58,61,50,47,51,48,49,45,42,50,37,55,26,33,52,39
24,58,60,48,39,49,36,39,49,51,40,51,37,38,47,46,53,53,48,64
25,95,102,96,89,92,81,100,93,72,77,92,91,84,88,77,91,101,73,78
31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
