District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,32,40,37,22,23,27,34,20,18,24,16,14,7,12,12,8,10,19,10
2,78,24,25,13,15,17,14,12,19,17,7,8,7,2,6,6,7,3,3
3,52,21,18,18,18,18,40,19,24,13,6,11,12,8,1,0,3,9,2
4,72,55,42,41,39,55,84,52,23,18,29,29,18,21,15,7,6,9,8
5,30,14,17,19,23,27,22,13,10,8,11,9,4,10,5,4,2,8,4
6,35,28,41,43,33,52,43,22,21,13,19,9,13,8,8,2,5,5,6
7,56,34,26,39,37,47,29,31,15,9,12,15,9,5,7,3,2,9,9
8,69,75,53,44,47,68,71,64,53,54,46,42,29,19,11,12,9,12,11
9,81,117,91,42,53,45,114,52,65,58,30,51,46,23,19,16,18,7,21
10,70,109,105,95,74,91,108,77,48,49,40,51,46,38,31,33,16,11,24
11,49,43,32,31,29,42,21,20,28,25,35,15,13,15,12,11,9,18,10
12,130,105,128,65,64,94,73,64,41,57,53,45,41,23,19,17,14,23,18
14,82,83,91,86,52,74,77,70,49,67,54,42,32,33,20,10,12,10,18
15,69,71,39,30,23,42,53,32,20,23,9,15,10,8,2,3,6,9,2
16,94,78,75,76,36,47,41,48,33,31,28,15,17,15,12,6,7,15,5
17,86,79,68,51,76,59,31,46,47,47,35,33,24,23,9,4,6,7,7
18,71,58,62,39,42,48,77,61,48,55,54,45,50,47,44,37,20,40,39
19,148,105,131,59,68,78,85,68,47,48,39,28,29,46,26,25,18,19,21
20,69,97,52,34,43,36,20,16,16,23,15,12,8,8,4,3,3,7,1
22,47,45,38,26,37,20,11,14,25,17,9,14,7,2,4,3,4,14,3
24,86,50,61,48,63,69,45,28,32,28,30,30,19,13,9,11,6,9,2
25,131,83,79,64,110,79,77,83,64,52,42,40,24,18,16,6,8,5,6
