District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,17,7,8,3,8,4,2,2,2,5,0,3,2,7,4,4,5,3
2,35,41,31,18,27,18,8,10,9,18,10,6,6,5,11,6,11,8,6
3,42,45,47,35,20,32,40,25,18,22,17,23,21,19,17,12,15,14,12
4,56,50,75,41,50,33,53,39,41,26,29,27,24,24,33,26,36,23,33
5,50,61,48,34,32,42,36,45,31,29,26,36,24,20,26,42,30,15,17
6,47,54,32,33,22,38,23,34,33,22,30,19,17,22,32,29,24,18,22
7,75,59,82,58,55,51,50,51,48,43,38,32,27,47,32,41,34,39,34
8,86,80,102,68,66,83,62,52,67,49,48,41,34,41,35,65,36,26,25
9,88,71,88,58,60,43,55,50,50,33,55,27,29,38,39,35,48,37,22
10,79,57,44,44,35,62,48,44,36,27,34,28,20,24,32,47,23,23,20
11,47,48,42,42,37,38,46,35,38,27,40,39,23,27,20,28,38,31,37
12,49,56,56,34,25,37,27,41,21,26,15,13,13,15,18,24,14,10,15
14,50,64,50,36,47,37,31,33,36,25,22,28,18,8,15,18,13,9,14
15,45,47,34,38,39,26,33,31,28,12,19,25,15,13,29,30,16,30,26
16,20,28,20,37,33,20,28,18,16,21,15,13,11,10,8,10,13,21,16
17,37,44,27,19,21,19,22,32,26,21,16,14,14,13,22,11,24,4,6
18,9,10,7,6,6,6,7,4,6,3,5,2,1,4,8,12,6,5,7
19,31,32,19,20,22,18,7,7,5,12,8,13,4,17,19,5,5,5,17
20,15,11,9,7,9,9,8,6,5,7,6,2,3,8,2,1,4,4,0
22,25,19,28,33,22,17,31,16,16,17,14,16,6,6,8,15,11,8,10
24,24,29,18,22,13,19,11,10,13,19,14,11,7,2,8,6,2,9,6
25,100,109,89,87,46,70,82,58,71,61,38,54,44,32,32,49,37,29,26
31,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
