District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,9,12,7,1,14,14,8,12,7,5,4,1,0,1,0,0,0,0,1
2,108,81,63,64,58,47,61,73,68,56,42,41,30,6,3,4,2,5,1
3,83,91,91,110,98,104,82,99,59,52,39,52,48,27,11,8,2,15,4
4,32,23,50,75,75,77,54,34,30,28,28,18,18,25,11,3,6,8,10
5,38,41,53,51,42,56,65,50,47,36,18,25,31,18,7,5,9,5,4
6,36,57,79,96,76,88,110,78,60,53,33,19,17,21,17,9,10,8,9
7,84,96,134,145,102,150,142,91,58,77,98,123,92,40,77,35,24,11,5
8,53,34,60,62,66,56,60,46,47,53,34,31,26,23,16,17,17,7,13
9,51,51,63,50,65,93,78,40,29,27,46,13,8,9,10,4,0,1,0
10,23,33,18,40,52,100,107,90,42,60,60,83,74,32,32,16,14,25,29
11,71,130,115,127,124,168,177,151,191,154,107,89,108,85,54,32,76,74,37
12,25,16,28,28,17,52,47,43,30,21,22,25,20,4,1,6,2,5,4
14,20,14,23,16,5,14,5,6,3,5,6,1,2,0,1,0,0,0,0
15,104,71,86,78,122,152,271,249,204,200,126,131,83,74,35,31,18,24,15
16,19,15,18,21,13,20,9,6,3,2,1,0,1,0,5,3,0,1,1
17,35,30,25,23,16,18,11,3,6,2,4,1,2,4,3,1,3,1,2
18,2,6,8,9,8,16,14,10,10,12,6,7,3,0,0,2,3,4,1
19,26,28,26,7,10,10,18,8,6,5,1,4,2,1,1,1,0,0,3
20,8,11,16,14,12,16,10,9,4,6,2,6,2,2,3,1,1,1,0
22,26,28,28,25,25,31,31,33,20,29,21,16,14,6,9,1,2,1,1
24,31,50,38,39,28,23,15,23,23,11,10,7,0,0,6,0,0,2,2
25,50,53,59,41,50,63,34,45,44,33,28,31,15,15,8,10,2,3,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
