District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,46,66,58,51,54,42,42,48,30,27,22,28,24,27,23,32,33,44,51
2,316,201,184,170,174,158,140,168,153,146,159,134,112,117,117,118,138,127,232
3,178,192,186,187,193,204,219,240,298,277,278,287,243,203,224,168,251,261,324
4,329,298,300,321,323,299,249,313,304,233,338,317,247,286,261,238,359,422,552
5,186,203,214,216,237,287,294,272,289,269,311,337,258,302,284,282,353,457,537
6,242,208,229,216,203,222,264,281,332,262,314,354,269,276,311,211,440,621,654
7,310,355,361,416,416,350,324,402,413,375,435,449,342,377,377,375,551,662,659
8,249,294,251,274,260,321,304,293,300,278,263,265,201,186,193,168,223,259,378
9,282,284,278,363,277,260,202,284,311,255,258,291,184,160,201,203,269,273,397
10,246,290,208,219,261,198,142,182,201,189,183,209,194,177,243,266,460,440,492
11,316,332,409,329,342,307,252,283,342,292,255,266,261,233,273,412,480,649,676
12,274,235,205,204,192,140,137,113,122,100,105,98,85,55,89,81,117,101,162
14,188,172,174,135,129,125,79,106,100,81,74,68,50,43,53,56,62,98,117
15,206,215,307,296,233,212,197,197,192,202,186,154,181,156,200,237,318,291,273
16,115,113,52,76,64,43,51,49,60,57,32,39,56,47,49,29,49,55,52
17,118,114,76,75,78,72,67,60,63,60,61,68,36,45,41,51,42,82,94
18,103,105,79,92,60,47,59,50,42,43,32,31,31,36,33,43,28,51,77
19,88,95,67,84,47,44,44,42,44,47,52,60,37,33,33,45,38,40,45
20,38,39,29,32,28,29,18,31,26,30,29,35,25,25,24,40,30,26,20
22,121,135,165,162,146,120,169,144,206,160,159,130,148,117,105,121,149,136,171
24,88,73,92,69,93,96,73,84,74,77,81,95,89,66,67,69,53,56,54
25,235,262,287,310,296,245,228,233,256,244,253,192,173,146,163,206,243,305,306
