District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,193,187,129,103,89,85,96,101,126,97,102,63,88,107,99,76,71,90,90
2,118,82,60,72,67,74,80,63,63,65,76,104,108,94,59,52,44,56,51
3,101,96,80,94,91,152,172,168,173,194,137,167,134,161,126,80,67,50,70
4,144,115,139,108,118,125,188,152,183,227,195,191,207,227,174,105,92,67,84
5,121,111,82,95,66,74,89,103,110,130,109,112,122,152,102,70,71,68,39
6,116,88,87,83,120,127,139,163,168,181,146,154,153,163,156,83,107,86,102
7,135,130,151,115,132,107,96,123,160,212,171,263,238,210,162,113,105,84,77
8,137,118,140,211,303,354,308,261,292,361,343,310,262,264,198,97,82,62,69
9,153,145,182,170,216,276,296,257,283,241,225,196,227,169,105,61,62,45,44
10,87,115,122,177,198,271,341,270,236,323,303,257,306,227,188,132,110,77,168
11,128,98,110,103,73,108,98,108,103,96,117,95,179,224,219,176,152,175,177
12,230,172,126,126,142,157,195,192,184,238,211,194,174,98,98,70,46,44,54
14,162,151,128,106,111,115,116,108,99,96,66,100,73,43,50,38,27,38,38
15,77,72,85,75,75,92,86,118,133,148,135,137,133,169,131,87,75,81,69
16,96,113,88,97,109,78,104,95,80,82,54,58,78,56,92,55,45,56,42
17,86,69,82,79,156,202,127,109,101,100,102,102,89,64,43,22,20,22,27
18,139,82,68,103,76,104,94,73,71,97,97,83,91,64,67,57,64,70,83
19,129,101,115,140,128,99,136,108,114,153,147,86,118,96,76,71,67,54,51
20,70,107,137,132,130,97,69,56,64,90,53,41,35,30,39,22,22,15,18
22,96,93,97,85,107,95,101,97,91,123,73,83,104,75,47,53,52,43,56
24,54,52,71,63,52,64,60,80,92,90,88,74,64,45,54,27,31,24,20
25,178,160,151,158,171,212,324,208,221,194,145,137,151,165,137,60,86,64,89
31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
