District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,1121,1942,1909,1938,1857,1704,1515,1387,1196,1172,1083,1129,1171,1262,1314,1378,1574,1697,1771
2,7833,6143,5343,4750,4488,4101,3824,3433,3069,3039,2861,2672,2422,2210,2166,2127,2276,2385,2291
3,5829,5674,5400,5492,5169,4966,4953,4633,4247,4163,3728,3660,3389,2915,3017,2891,3023,2866,3057
4,5589,5697,5337,5402,5277,5158,5251,4885,4291,4227,4229,4025,3532,3331,3353,3390,3369,3262,3031
5,5279,5620,5274,5156,4710,4374,4372,4101,3918,3640,3329,3250,3001,2654,2535,2632,2542,2563,2528
6,5191,5377,5112,5307,5335,5201,5386,5118,4382,4216,3837,3836,3725,3499,3363,3599,3545,3544,3735
7,7625,8083,7304,7406,7007,6808,6767,6464,5185,5089,4618,4579,4213,3688,3552,3471,3322,3446,3447
8,5090,5551,5384,5397,5304,5245,5192,4966,4450,4245,3884,3692,3246,2768,2950,3018,2983,2989,2919
9,4645,5004,4631,4396,4480,4218,4072,3891,3479,3405,3271,3090,2722,2572,2476,2562,2310,2205,2181
10,4554,4590,4314,4181,4077,3726,3784,3644,3383,3449,3178,3352,2824,2673,2712,3041,2778,2687,2640
11,5938,6320,6100,5802,5794,5378,5335,5310,4876,4584,4292,4111,3846,3619,3628,3906,3734,3817,3667
12,4393,4213,3889,3855,3674,3455,3320,3073,2771,2617,2402,2332,2119,1987,1970,2002,1921,1968,1994
14,3724,3535,3205,2931,2657,2690,2475,2392,2285,2188,2068,1816,1564,1496,1287,1370,1342,1275,1217
15,4126,4492,4549,4623,4389,4271,4083,3796,3655,3085,2921,3076,2955,2642,2590,2729,2404,2398,2559
16,2160,2072,1984,2013,2002,1951,2029,2058,1909,1784,1581,1527,1477,1413,1409,1374,1422,1429,1467
17,2269,2187,2072,1971,1981,2069,2002,2026,1749,1728,1592,1558,1353,1191,1314,1274,1169,1300,1119
18,2996,2908,2609,2645,2311,2403,2349,2234,1983,1797,1553,1564,1413,1419,1250,1456,1630,1793,1890
19,3134,2932,2679,2635,2441,2421,2399,2331,2003,1845,1805,1942,1752,1521,1601,1624,1542,1608,1610
20,1710,1560,1436,1382,1342,1242,1201,1192,1076,1078,948,902,858,764,729,755,775,918,787
21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2728,2884,2838,2817,2784,2738,2563,2489,2281,2175,1982,1845,1727,1474,1537,1583,1537,1536,1541
24,2647,2586,2325,2369,2345,2181,2190,2114,1991,1821,1774,1762,1594,1447,1287,1367,1376,1410,1384
25,4865,4781,4683,4664,4540,4363,4529,4379,4282,4054,3519,3416,3100,2904,2879,2740,2651,2710,2589
31,0,0,2,2,0,2,1,3,1,2,3,0,0,0,0,0,0,2,1
