District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,405,1205,993,1147,1695,1617,1021,1324,731,543,460,388,354,271,219,158,162,167,164
2,5720,3492,3211,3292,2477,1863,2365,1995,1741,1735,1568,1104,1326,868,504,292,251,245,443
3,2132,2276,2305,3103,3063,2787,2707,2067,2228,2382,2080,2048,1520,1208,741,384,328,438,445
4,1979,1957,2078,2750,2419,2950,2650,2475,2839,1941,1921,1598,1537,1728,1230,565,457,563,751
5,1824,1946,2023,2665,2745,2768,3231,1990,1848,1722,1808,1722,1539,1207,793,531,460,519,440
6,1766,1992,2192,2506,2183,2687,4122,3468,2856,2805,2607,2348,1872,1451,1240,657,617,877,818
7,2472,3375,3652,4544,4063,3998,3722,3676,2910,3133,2558,2571,2055,1899,2155,1047,866,938,794
8,1908,1952,2269,2092,2336,2878,2757,2501,2384,2789,2590,1999,1634,1424,1219,542,484,531,486
9,2438,2653,2854,2392,2192,2699,2580,2217,2442,2305,2080,1579,1513,1242,1204,637,502,421,463
10,2573,2668,2869,3885,3560,3426,2993,2542,2290,2409,2035,2292,2452,1945,1508,898,1287,1861,1910
11,7978,9234,9562,9085,9724,8255,7406,5961,5994,5866,5304,5601,7248,6804,5670,3632,3401,4072,4366
12,2261,2043,2205,2208,2068,2156,1977,1553,1378,1404,1235,1082,953,624,586,379,225,257,344
14,1212,1232,1491,1486,1249,1329,1162,1171,957,899,690,824,477,318,294,132,110,82,124
15,5941,5736,6649,5716,5251,6457,6411,5395,4803,4974,4240,3614,3762,3192,2513,1418,1031,1068,868
16,557,635,810,821,693,658,666,706,746,678,566,596,823,607,533,344,281,176,126
17,812,691,777,770,851,722,740,641,695,784,684,519,438,352,303,158,88,103,131
18,1593,1507,1033,1183,1387,1150,977,696,756,649,503,384,289,259,297,145,156,149,176
19,1213,1306,1222,1165,1384,1258,1236,894,876,929,913,998,675,670,405,195,122,121,108
20,904,681,640,545,707,697,675,480,412,510,481,375,229,297,202,116,88,69,55
21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1443,1506,1355,1575,1477,1547,1394,1020,1153,1294,1021,926,972,715,580,285,160,198,299
24,1160,1104,1112,1050,1482,1414,1292,1284,1096,1012,772,734,595,454,373,178,117,114,169
25,2276,2597,2985,3075,3228,2496,2363,2437,2394,2630,2487,2185,1864,1583,1366,621,473,525,604
31,0,1,1,4,0,1,7,13,13,0,2,1,0,0,0,0,0,0,0
