District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,14856,17972,17571,17578,17698,16950,15649,15851,13396,12526,11823,12256,12204,11569,11993,13717,15400,15671,15120
2,35401,27045,25097,23759,21959,20185,19367,17779,16753,15958,15328,13620,12837,11536,10754,11430,11605,11868,11107
3,24310,23557,23580,24278,24222,23567,23113,21615,20552,19702,18457,17857,16035,13769,13063,12328,12683,12105,12384
4,25118,25832,26144,26142,24988,25984,25458,24977,23051,21212,21422,20012,17924,16703,15851,14999,14738,14174,13905
5,20006,21092,19950,20499,20369,19950,20821,19240,18008,16278,15958,15442,13976,12588,11348,11619,11741,11983,11242
6,25479,25314,25460,26106,25616,25150,26997,26038,23349,21394,20664,19445,18321,16534,16038,16193,16541,16502,16679
7,26600,28125,27864,28735,27465,27484,27457,27423,23383,22613,21255,20321,18214,15687,15762,14210,13810,14283,13536
8,31345,32096,31707,31400,31349,32267,31100,30845,28632,26511,25371,22700,20265,18257,17299,17507,16530,16376,15512
9,24080,25313,25296,23699,22869,23502,21718,20955,19400,18519,18454,16819,14896,13524,12725,12650,11746,11042,10851
10,19641,19460,19086,20364,19270,18313,18335,17720,15914,16118,14968,15214,13974,12561,11756,12555,12497,12617,12385
11,27651,30063,30017,29323,29240,28302,26557,25685,23459,22580,21597,22069,21946,20640,19513,18621,18024,19178,18142
12,24880,24678,25001,24226,22290,22042,20916,20503,18140,17267,16725,16026,14102,12610,12335,14064,13500,13125,13040
14,22542,22389,20595,19023,16957,17274,16358,16522,15731,15188,13470,12663,10804,9461,8942,10327,10058,9385,9197
15,20118,20443,21332,20260,19134,20418,20349,19124,17929,16708,15524,14568,13809,12934,11737,11412,10194,10072,9902
16,16011,16057,15876,14523,14233,14291,14152,14990,13564,11946,11361,10980,10624,9556,9411,9448,8923,8771,8100
17,14484,14430,13975,13058,13137,13060,11930,12561,11651,11282,10458,9785,8551,7435,7723,7772,7907,7632,6673
18,22517,22315,20379,20172,18759,18416,18148,17731,16075,15193,14545,14348,12912,11510,11361,13211,15095,16200,15033
19,22755,22901,21485,21039,19529,18884,18590,18510,17050,16175,15479,15773,14071,12200,11563,12243,12059,12277,11671
20,9987,9152,8259,8369,8729,8180,7302,7018,6297,6101,5758,5743,4908,4334,4268,4400,4590,4946,4302
21,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,14952,15674,14960,15439,15110,14863,14980,14292,13551,12764,11689,10916,10284,8814,8748,8612,8346,8453,8144
24,15111,15020,13934,14397,14323,14187,12995,12850,11849,11261,10214,9619,8747,7554,7029,7348,8195,7706,7903
25,27919,27825,28371,26990,26468,24852,24724,24788,24979,23041,21294,19884,17794,15626,15044,14525,14239,13353,12773
31,0,9,11,6,5,7,15,22,22,25,22,4,5,3,9,15,3,10,7
