District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,246,385,338,312,356,413,408,374,393,398,362,355,311,272,319,458,609,458,364
2,1413,1154,1122,1006,1036,965,895,755,743,610,694,648,614,610,519,659,655,507,360
3,1142,1125,973,961,1041,1016,1214,1124,1124,845,941,936,769,602,568,744,751,445,453
4,879,1049,994,993,937,950,1079,1128,961,816,870,847,707,604,561,624,564,452,379
5,745,761,659,690,760,831,763,777,693,705,652,615,569,482,367,458,463,368,286
6,1213,1271,1324,1234,1266,1314,1311,1500,1438,1063,1012,1069,1040,779,769,874,794,646,591
7,1151,1157,1212,1004,978,1015,1184,1283,1190,1048,978,947,905,698,590,714,600,512,464
8,1101,1226,1240,1117,1179,1273,1147,1362,1280,1127,968,953,828,588,640,769,762,600,497
9,820,904,840,733,778,746,598,736,568,579,636,586,447,472,534,678,632,408,360
10,963,985,802,647,709,677,622,682,650,652,677,654,589,540,542,631,552,508,429
11,1243,1329,1097,1076,1035,1030,1019,1179,1026,989,1006,1038,794,759,869,1007,946,972,732
12,814,872,731,684,683,656,585,647,598,537,569,577,457,404,387,553,723,545,461
14,1121,910,836,698,676,610,533,558,644,575,478,466,432,339,299,473,492,298,264
15,745,718,795,705,746,760,665,762,819,805,727,615,499,513,521,596,589,522,417
16,246,253,243,237,213,202,244,238,242,157,173,196,143,117,159,184,131,125,92
17,509,429,429,412,345,380,337,324,344,334,348,271,314,224,213,344,332,297,162
18,526,578,499,492,445,444,465,468,403,444,447,359,284,228,281,381,497,491,509
19,765,757,627,653,568,521,479,536,519,535,516,549,531,386,371,489,458,377,265
20,327,292,246,238,257,250,190,229,171,189,169,149,165,106,113,133,133,120,86
22,509,516,510,493,569,594,488,562,553,415,472,488,504,303,268,295,307,198,200
24,669,633,598,654,542,488,390,498,534,500,425,375,298,239,201,317,304,286,226
25,1294,1218,1217,939,928,833,834,976,1087,951,862,792,620,534,547,579,586,544,390
31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
