District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,11,30,31,22,34,37,36,36,28,18,25,34,36,32,46,33,24,25,26
2,143,104,130,121,143,105,118,104,96,128,100,135,108,109,90,87,92,99,101
3,129,200,231,224,186,206,190,182,176,146,126,121,133,120,120,127,123,149,165
4,168,204,278,303,222,243,253,247,226,199,204,138,215,185,214,190,203,182,190
5,130,160,227,223,228,186,180,168,150,121,124,100,108,120,121,118,147,153,120
6,161,168,223,255,218,199,242,187,172,149,155,133,142,143,129,176,171,159,175
7,134,165,178,161,195,160,173,160,146,153,138,129,130,122,142,120,137,160,164
8,134,189,194,183,224,212,271,243,202,252,224,216,200,206,209,202,186,192,205
9,116,162,179,164,177,158,165,154,160,176,165,115,120,125,135,114,105,106,136
10,114,114,149,136,150,120,104,91,119,129,99,129,111,136,117,115,140,131,142
11,138,163,144,128,108,126,136,112,125,131,129,108,124,144,141,126,138,128,127
12,90,100,109,91,92,90,85,67,77,78,88,97,143,136,78,122,90,77,73
14,94,109,94,121,98,85,83,83,106,104,90,86,83,73,55,62,57,38,43
15,122,92,113,132,100,99,127,110,98,90,112,108,91,93,106,111,95,101,88
16,45,48,62,77,73,93,80,97,117,104,94,86,98,89,93,75,77,67,61
17,64,52,70,76,80,88,96,85,81,112,73,55,87,72,75,74,64,56,56
18,48,48,65,62,47,57,35,25,23,14,29,41,29,33,26,28,31,25,46
19,45,60,77,78,75,70,67,42,56,33,29,58,53,58,66,41,44,39,35
20,27,31,50,56,49,32,32,28,27,27,17,25,41,22,22,28,25,28,30
22,85,125,148,198,135,144,130,140,127,144,86,106,98,113,92,142,127,114,98
24,81,91,108,113,98,75,84,79,79,71,62,63,64,71,66,75,63,68,61
25,167,165,178,158,154,176,208,189,198,193,202,163,181,219,194,173,153,182,144
31,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,2,0
