District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,6
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,9
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,10
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,9,10
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,13,27
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,30,23
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,16,22,29
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,8
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,12,21
11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1,8,6
12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,3
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,1,2
16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,21,27,34
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,4
19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,9
